SK_ID_CURR,DAYS_BIRTH,CODE_GENDER,DAYS_EMPLOYED,NAME_FAMILY_STATUS_Married,FLAG_OWN_CAR,NAME_EDUCATION_TYPE_Highereducation,AMT_GOODS_PRICE,AMT_CREDIT,PAYMENT_RATE,AMT_ANNUITY,EXT_SOURCE_2,EXT_SOURCE_3,INCOME_PER_PERSON,CNT_FAM_MEMBERS,AMT_INCOME_TOTAL
100001,-19241,0,-2329,1,0,1,450000.0,568800.0,0.0361471518987341,20560.5,0.7896543511176771,0.1595195404777181,67500.0,2.0,135000.0
100013,-20038,1,-4458,1,1,1,630000.0,663264.0,0.1052024533217542,69777.0,0.6997868302051784,0.6109913280868294,101250.0,2.0,202500.0
100057,-16685,1,-2580,1,1,1,373500.0,499221.0,0.0443040256719969,22117.5,0.57108420610083,0.6512602186973006,45000.0,4.0,180000.0
100065,-9516,1,-1387,0,0,1,180000.0,180000.0,0.079,14220.0,0.6130330592407085,0.3123653692278984,166500.0,1.0,166500.0
100067,-10395,0,-2625,0,1,1,45000.0,45000.0,0.1186,5337.0,0.4448475614048825,0.1940678276718812,54000.0,3.0,162000.0
100091,-12278,0,-929,0,0,0,225000.0,296280.0,0.0794501822600243,23539.5,0.4700355103285236,0.41534714488434,123750.0,2.0,247500.0
100107,-13563,1,-1007,0,1,0,225000.0,296280.0,0.0732077764277035,21690.0,0.6844067238529257,0.2636468134452008,90000.0,2.0,180000.0
100109,-19375,0,-4739,0,1,0,360000.0,407520.0,0.0639023851590106,26041.5,0.6350278467719062,0.3062022983135042,202500.0,1.0,202500.0
100141,-17955,0,-305,1,1,0,454500.0,478498.5,0.0976836917984068,46741.5,0.7427647756395467,,87750.0,2.0,175500.0
100150,-10507,0,-2780,0,0,0,225000.0,225000.0,0.08552,19242.0,0.6009994171816399,0.7610263695502636,49500.0,2.0,99000.0
100168,-22557,0,-13294,0,0,1,202500.0,266652.0,0.0616646415552855,16443.0,0.7089390399675721,0.746300213050371,157500.0,1.0,157500.0
100172,-15394,0,-967,0,0,0,225000.0,225000.0,0.05482,12334.5,0.3488858471220637,0.5352762504724826,38250.0,2.0,76500.0
100187,-21040,0,-2467,1,0,1,418500.0,501363.0,0.0513131204336977,25726.5,0.266212100961842,0.5954562029091491,112500.0,2.0,225000.0
100212,-15773,0,-1310,1,1,0,450000.0,450000.0,0.05135,23107.5,0.7629532085826144,0.3572932680336494,45000.0,2.0,90000.0
100245,-13365,0,-1397,1,0,0,315000.0,364896.0,0.0574067679558011,20947.5,0.6708899286421401,0.5460231970049609,56250.0,2.0,112500.0
100253,-15631,0,-3060,0,1,0,720000.0,819792.0,0.0482665115053574,39568.5,0.6083332060612188,0.6769925032909132,171000.0,1.0,171000.0
100256,-10125,1,-1161,0,1,0,112500.0,119925.0,0.1130956848030018,13563.0,0.4966999265160138,0.3201633668633456,121500.0,1.0,121500.0
100278,-10834,0,-1787,1,0,0,450000.0,450000.0,0.0793,35685.0,0.472078723935541,0.3001077565791181,40500.0,3.0,121500.0
100306,-8743,1,-253,0,0,0,360000.0,360000.0,0.0793625,28570.5,0.3834644932070785,0.4920600938649263,112500.0,1.0,112500.0
100311,-17709,0,-3910,1,0,0,247500.0,247500.0,0.0515818181818181,12766.5,0.3121728034737758,0.164414178829907,87750.0,2.0,175500.0
100330,-13900,0,-2292,1,1,0,450000.0,539100.0,0.0512938230383973,27652.5,0.5061354324171047,0.4920600938649263,105750.0,2.0,211500.0
100382,-11746,1,-1804,1,1,1,360000.0,431280.0,0.0513564273789649,22149.0,0.3785445267666673,0.164414178829907,60000.0,3.0,180000.0
100386,-13622,0,-993,0,0,1,157500.0,207396.0,0.0645287276514494,13383.0,0.5922055060542036,0.5136937663039473,40500.0,5.0,202500.0
100399,-20520,1,-3794,1,0,1,900000.0,1024740.0,0.0424951695064113,43546.5,0.7904523245236238,0.4066174366275036,180000.0,2.0,360000.0
100438,-10711,0,-1327,1,0,1,450000.0,450000.0,0.05135,23107.5,0.6640709169996869,0.5602843280409464,48000.0,3.0,144000.0
100445,-13188,1,-126,0,0,0,211500.0,278505.0,0.0547099693003716,15237.0,0.504134762347502,,135000.0,1.0,135000.0
100446,-10015,1,-1283,0,1,1,472500.0,594121.5,0.0512773902307861,30465.0,0.0857030029138577,0.5638350489514956,157500.0,1.0,157500.0
100483,-15358,0,-3235,1,0,1,675000.0,675000.0,0.0378933333333333,25578.0,0.7048113313247231,0.445396241560834,67500.0,3.0,202500.0
100484,-21975,0,-1083,1,0,1,1741500.0,1907010.0,0.0348270328944263,66415.5,0.5942687302880564,0.6397075677637197,101250.0,2.0,202500.0
100494,-10476,0,-2786,0,0,1,675000.0,675000.0,0.05444,36747.0,0.3079020349658547,0.6577838002083306,67500.0,2.0,135000.0
100553,-11604,1,-3552,0,1,0,126000.0,165915.0,0.0619473826959587,10278.0,0.668926677741423,0.7910749129911773,126000.0,1.0,126000.0
100568,-10018,1,-464,1,0,0,270000.0,312768.0,0.0790026473296501,24709.5,0.3197248970630974,0.0441303158529594,56250.0,2.0,112500.0
100591,-16659,1,-243,1,1,0,283500.0,328405.5,0.07940640458214,26077.5,0.7045564897720468,,90000.0,2.0,180000.0
100607,-17088,1,-1727,1,1,0,450000.0,450000.0,0.05135,23107.5,0.6467135635803658,0.5478104658520093,67500.0,2.0,135000.0
100617,-12133,0,-291,1,0,1,360000.0,481176.0,0.051324255573844,24696.0,0.6011305056142987,0.1229554179088549,50625.0,4.0,202500.0
100677,-14806,0,-620,1,0,0,328500.0,402214.5,0.055839607970374,22459.5,0.6507498898246993,0.2091546988410069,84000.0,3.0,252000.0
100729,-15974,1,-472,1,0,0,180000.0,180000.0,0.079,14220.0,0.377845152729456,0.3706496323299817,37500.0,3.0,112500.0
100740,-10302,0,-615,1,0,0,225000.0,296280.0,0.0727673147023086,21559.5,0.352725511085655,,22500.0,3.0,67500.0
100744,-10426,0,-666,1,0,0,225000.0,225000.0,0.07958,17905.5,0.4072754189233125,,36000.0,4.0,144000.0
100747,-8842,1,-839,0,1,0,625500.0,691551.0,0.0791980634833873,54769.5,0.5627194869842227,0.3077366963789207,247500.0,2.0,495000.0
100753,-11477,0,-2087,0,1,0,135000.0,156384.0,0.1195039134438305,18688.5,0.4230110862786596,0.0938365970374978,90000.0,2.0,180000.0
100754,-19434,1,-553,1,1,0,364500.0,364500.0,0.0362716049382716,13221.0,0.2687013095065218,0.2301588968634147,67500.0,2.0,135000.0
100760,-19467,1,-3254,1,0,0,193500.0,224149.5,0.0994760193531549,22297.5,0.5909797478001795,0.6446794549585961,45000.0,2.0,90000.0
100763,-11053,0,-1372,0,1,0,454500.0,571486.5,0.0425915572808806,24340.5,0.2144856498196455,0.7922644738669378,78750.0,2.0,157500.0
100765,-14590,0,-3714,1,1,0,103500.0,136287.0,0.0649144819388496,8847.0,0.5136001642195136,0.6801388218428291,28125.0,4.0,112500.0
100770,-8819,1,-852,1,1,0,697500.0,697500.0,0.0482967741935483,33687.0,0.5756416907714301,0.3001077565791181,101250.0,2.0,202500.0
100772,-12257,1,-1234,1,1,0,900000.0,1096020.0,0.051178354409591,56092.5,0.7263836452325112,0.622922000268356,157500.0,2.0,315000.0
100791,-12775,0,-2389,1,1,0,238500.0,276277.5,0.0643700627086896,17784.0,0.6244329537674215,0.6894791426446275,45000.0,3.0,135000.0
100792,-15444,0,-466,1,0,0,238500.0,276277.5,0.0643700627086896,17784.0,0.7565511982196262,0.813917469762627,30000.0,3.0,90000.0
100823,-11880,1,-1570,1,1,0,585000.0,585000.0,0.051276923076923,29997.0,0.5747760919170575,0.7091891096653581,101250.0,2.0,202500.0
100836,-13150,1,-1586,1,0,0,202500.0,234576.0,0.0863835174953959,20263.5,0.2237184912231269,0.3910549766342248,16875.0,4.0,67500.0
100872,-11095,1,-338,1,1,1,900000.0,1024740.0,0.0482346741612506,49428.0,0.7721212606616444,0.6092756673894402,45000.0,3.0,135000.0
100918,-10752,1,-759,1,1,0,90000.0,118512.0,0.0639049210206561,7573.5,0.660574078815472,,90000.0,2.0,180000.0
100931,-20845,1,-2797,1,1,0,225000.0,260640.0,0.0993957182320442,25906.5,0.6815421987040936,0.5762088360175724,94500.0,2.0,189000.0
100952,-11788,1,-3394,1,1,0,675000.0,675000.0,0.0512533333333333,34596.0,0.6706388088669245,0.4525335592581747,37500.0,3.0,112500.0
100965,-18559,0,-569,1,1,0,202500.0,202500.0,0.0645333333333333,13068.0,0.3571062407657783,0.1634256947313434,45000.0,2.0,90000.0
100987,-11854,1,-2646,1,1,0,450000.0,500490.0,0.1189354432655997,59526.0,0.6049152433304457,0.6023863442690867,90000.0,3.0,270000.0
100997,-10273,0,-2513,0,0,1,135000.0,199152.0,0.0516992046276211,10296.0,0.5396301110438404,0.4596904504249018,180000.0,1.0,180000.0
100998,-11144,1,-2774,1,1,0,450000.0,601470.0,0.051271883884483,30838.5,0.3288092862889698,0.6347055309763198,37500.0,3.0,112500.0
101002,-19577,1,-711,1,0,0,238500.0,257391.0,0.105510682191685,27157.5,0.627591768327591,0.2881295999178507,45000.0,2.0,90000.0
101008,-13119,1,-124,0,0,0,450000.0,497520.0,0.0790068740955137,39307.5,0.5008055164897282,,135000.0,1.0,135000.0
101020,-16649,0,-1456,1,0,0,238500.0,332946.0,0.0484943504352057,16146.0,0.5755134830462117,,45000.0,2.0,90000.0
101024,-12225,1,-5644,1,1,0,463500.0,582804.0,0.0512771017357465,29884.5,0.6504516342822646,0.4031416766587513,83250.0,4.0,333000.0
101026,-21712,0,-2790,0,0,1,450000.0,450000.0,0.05106,22977.0,0.251988312656815,0.6785676886853644,193500.0,1.0,193500.0
101041,-17625,0,-496,0,0,1,454500.0,454500.0,0.0379801980198019,17262.0,0.71093391551603,0.4311917977993083,202500.0,1.0,202500.0
101055,-14272,0,-249,0,0,0,157500.0,157500.0,0.0727428571428571,11457.0,0.6388003264024186,0.4489622731076524,90000.0,1.0,90000.0
101056,-9580,0,-1009,1,1,0,283500.0,358344.0,0.0793650793650793,28440.0,0.2102101596526336,0.1428725230413196,37500.0,3.0,112500.0
101057,-10539,1,-820,1,1,1,202500.0,202500.0,0.0796444444444444,16128.0,0.7283523753674924,0.3859146722745145,56250.0,2.0,112500.0
